"APPT_CANCEL_DATE","Count"
"2014-05-15 06:03:00",4
"2014-05-15 06:00:00",4
"2014-05-02 18:34:00",4
"2014-05-02 18:31:00",4
"2014-05-01 18:52:00",4
"2014-05-01 18:50:00",4
"2014-05-01 18:46:00",4
"2014-05-01 18:43:00",4
"2014-05-01 18:40:00",4
"2014-05-01 18:38:00",4
"2014-05-01 18:29:00",4
"2014-05-01 18:28:00",4
"2014-05-01 18:25:00",4
"2014-04-28 05:49:00",4
"2014-04-23 15:45:00",4
"2014-04-16 13:24:00",4
"2014-04-08 18:09:00",4
"2014-04-08 18:06:00",4
"2014-04-08 18:05:00",4
"2014-04-08 18:03:00",4
"2014-04-02 16:37:00",4
"2014-03-12 15:29:00",4
"2014-03-12 15:19:00",4
"2014-03-07 16:32:00",4
"2014-03-04 10:41:00",4
"2014-02-11 09:50:00",4
"2014-02-06 14:40:00",4
"2014-02-05 17:53:00",4
"2014-02-04 19:12:00",4
"2014-02-04 19:10:00",4
"2014-01-16 12:59:00",4
"2013-12-20 18:31:00",4
"2013-12-20 18:29:00",4
"2013-12-06 18:30:00",4
"2013-12-06 18:29:00",4
"2013-12-06 18:25:00",4
"2013-12-06 18:24:00",4
"2013-12-06 18:23:00",4
"2013-09-16 15:12:00",4
"2013-07-23 17:25:00",4
"2013-07-18 17:02:00",4
"2013-07-18 11:31:00",4
"2013-07-17 16:52:00",4
"2013-07-17 16:49:00",4
"2013-06-13 10:24:00",4
"2013-06-13 10:22:00",4
"2013-06-06 13:43:00",4
"2013-04-11 17:53:00",4
"2013-03-15 15:02:00",4
"2013-03-03 14:03:00",4
"2013-02-27 16:21:00",4
"2013-02-01 16:29:00",4
"2013-01-15 17:10:00",4
"2013-01-15 17:09:00",4
"2013-01-15 17:07:00",4
"2013-01-15 17:04:00",4
"2013-01-15 17:03:00",4
"2013-01-15 16:59:00",4
"2012-12-28 17:07:00",4
"2012-12-13 11:42:00",4
"2012-12-04 09:59:00",4
"2012-11-21 07:20:00",4
"2012-11-09 11:09:00",4
"2012-09-14 09:39:00",4
"2012-08-28 12:25:00",4
"2012-07-13 09:20:00",4
"2012-06-29 18:36:00",4
"2012-06-14 12:59:00",4
"2012-06-04 14:40:00",4
"2011-12-27 16:00:00",4
"2011-11-09 15:57:00",4
"2011-11-09 15:54:00",4
"2011-11-09 15:51:00",4
"2011-10-27 14:54:00",4
"2011-10-07 15:30:00",4
"2011-09-14 18:10:00",4
"2011-09-14 18:04:00",4
"2011-09-06 18:50:00",4
"2011-08-02 12:00:00",4
"2011-08-01 15:15:00",4
"2011-07-13 10:07:00",4
"2011-07-13 10:06:00",4
"2011-07-05 19:12:00",4
"2011-05-26 11:01:00",4
"2011-05-13 11:29:00",4
"2011-05-06 12:14:00",4
"2011-03-18 16:48:00",4
"2011-03-16 18:27:00",4
"2011-02-27 15:14:00",4
"2011-02-23 15:19:00",4
"2011-02-09 12:28:00",4
"2011-02-08 17:45:00",4
"2011-01-23 18:10:00",4
"2011-01-20 14:15:00",4
"2011-01-13 15:11:00",4
"2011-01-08 14:39:00",4
"2011-01-07 08:58:00",4
"2010-12-29 06:13:00",4
"2010-12-07 17:00:00",4
"2010-12-06 14:18:00",4
"2010-12-01 16:49:00",4
"2010-11-22 13:51:00",4
"2010-11-12 12:28:00",4
"2010-10-25 11:13:00",4
"2010-10-21 18:43:00",4
"2010-10-18 13:20:00",4
"2010-10-14 11:28:00",4
"2010-10-05 13:38:00",4
"2010-08-23 08:37:00",4
"2010-08-19 10:00:00",4
"2010-08-17 15:58:00",4
"2010-07-23 17:42:00",4
"2010-07-01 17:41:00",4
"2010-06-14 15:02:00",4
"2010-06-08 13:45:00",4
"2010-05-11 13:32:00",4
"2010-04-30 14:53:00",4
"2010-04-19 17:46:00",4
"2010-04-02 11:25:00",4
