Event,n
U02226,3
U02227,3
U02228,9
U02229,1
U02230,1
U02231,1
U02232,1
U02233,1
U02234,1
U02235,1
U02237,1
U02238,1
U02239,1
U02240,1
U02241,1
U02242,1
U02243,4
U02244,1
U02245,1
U02246,3
U02248,1
U02249,1
U02250,1
U02251,2
U02252,1
U02253,1
U02254,2
U02255,1
U02256,1
U02257,80
U02258,1
U02259,477
U02260,5
U02261,5
U02262,2
U02263,1
U02264,2
U02265,1
U02266,1
U02267,1
U02268,1
U02269,1
U02270,1
U02272,1
U02273,1
U02274,1
U02275,1
U02276,1
U02277,20
U02278,1
U02279,1
U02280,1
U02281,1
U02282,3
U02283,1
U02284,3
U02285,2
U02286,1
U02287,1
U02288,1
U02289,1
U02290,1
U02291,1
U02292,1
U02293,1
U02294,1
U02295,1
U02296,1
U02297,1
U02298,2
U02299,3
U02300,2
U02301,1
U02302,1
U02303,1
U02304,1
U02305,2
U02306,1
U02307,1
U02308,1
U02309,1
U02310,1
U02311,1
U02312,2
U02313,1
U02314,1
U02315,1
U02316,2
U02317,1
U02318,1
U02320,1
U02321,327
U02322,1
U02323,1
U02324,1
U02325,1
U02326,1
U02327,1
U02328,1
U02329,1
U02330,1
U02331,1
U02332,1
U02334,3
U02335,1
U02337,1
U02338,1
U02339,1
U02340,1
U02341,1
U02342,1
U02343,1
U02344,1
U02345,1
U02346,1
U02347,2
U02348,1
U02349,1
U02350,1
U02351,1
U02352,1
U02353,1
U02354,1
U02355,1
U02356,1
U02357,1
U02358,1
U02359,4
U02360,1
U02361,1
U02362,1
U02363,1
U02364,1
U02365,1
U02366,1
U02367,1
U02368,1
U02369,1
U02370,1
U02371,1
U02372,1
U02373,1
U02374,1
U02375,1
U02376,1
U02377,1
U02378,1
U02379,6
U02380,1
U02381,1
U02382,1
U02383,1
U02384,1
U02385,1
U02386,1
U02387,1
U02388,1
U02389,1
U02390,3
U02391,1
U02392,1
U02393,4
U02394,4
U02395,6
U02396,1
U02397,1
U02398,1
U02399,1
U02400,1
U02401,1
U02402,2
U02403,1
U02404,1
U02405,1
U02406,1
U02407,1
U02408,2
U02409,1
U02410,5
U02411,7
U02412,2
U02413,6
U02414,2
U02415,1
U02417,1
U02418,1
U02419,1
U02420,1
U02421,6
U02422,6
U02423,6
U02424,1
U02425,1
U02426,1
U02430,1
U02432,13
U02433,2
U02434,3
U02435,1
U02436,3
U02437,1
U02439,1
U02440,5
U02441,5
U02442,1
U02443,4
U02444,1
U02445,6
U02446,1
U02447,1
U02448,1
U02449,1
U02450,1
U02451,1
U02452,1
U02453,1
U02454,1
U02455,2
U02456,1
U02457,3
U02458,2
U02460,1
U02461,1
